,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
PR, Curitiba,"19,89","21,89","23,88","25,86","27,86","28,83","29,83","30,84","31,83","32,82","33,82","34,81","35,81","36,81","37,80","38,78","39,78","40,78","41,78","42,77","43,08","43,36","43,68","43,97","44,27","44,57","44,86","45,16","45,45","45,76","48,76","50,33","51,91","53,48","55,06","56,63","58,21","59,77","61,34","62,92","64,49","66,07","67,64","69,22","70,79","72,35","73,93","75,50","77,08","78,65","80,22","81,80","83,37","84,94","86,51","88,08","89,66","91,23","92,81","94,38","95,96","97,52","99,09","100,67","102,24","103,82","105,39","106,97","108,54","110,10","1,3790"
, Interior 0,"19,89","21,89","23,88","25,86","27,86","28,83","29,83","30,84","31,83","32,82","33,82","34,81","35,81","36,81","37,80","38,78","39,78","40,78","41,78","42,77","43,08","43,36","43,68","43,97","44,27","44,57","44,86","45,16","45,45","45,76","48,76","50,33","51,91","53,48","55,06","56,63","58,21","59,77","61,34","62,92","64,49","66,07","67,64","69,22","70,79","72,35","73,93","75,50","77,08","78,65","80,22","81,80","83,37","84,94","86,51","88,08","89,66","91,23","92,81","94,38","95,96","97,52","99,09","100,67","102,24","103,82","105,39","106,97","108,54","110,10","1,3790"
, Interior 1,"19,89","21,89","23,88","25,86","27,86","28,83","29,83","30,84","31,83","32,82","33,82","34,81","35,81","36,81","37,80","38,78","39,78","40,78","41,78","42,77","43,08","43,36","43,68","43,97","44,27","44,57","44,86","45,16","45,45","45,76","48,76","50,33","51,91","53,48","55,06","56,63","58,21","59,77","61,34","62,92","64,49","66,07","67,64","69,22","70,79","72,35","73,93","75,50","77,08","78,65","80,22","81,80","83,37","84,94","86,51","88,08","89,66","91,23","92,81","94,38","95,96","97,52","99,09","100,67","102,24","103,82","105,39","106,97","108,54","110,10","1,3790"
, Interior 2,"19,89","21,89","23,88","25,86","27,86","28,83","29,83","30,84","31,83","32,82","33,82","34,81","35,81","36,81","37,80","38,78","39,78","40,78","41,78","42,77","43,08","43,36","43,68","43,97","44,27","44,57","44,86","45,16","45,45","45,76","48,76","50,33","51,91","53,48","55,06","56,63","58,21","59,77","61,34","62,92","64,49","66,07","67,64","69,22","70,79","72,35","73,93","75,50","77,08","78,65","80,22","81,80","83,37","84,94","86,51","88,08","89,66","91,23","92,81","94,38","95,96","97,52","99,09","100,67","102,24","103,82","105,39","106,97","108,54","110,10","1,3790"
, Interior 3,"53,30","58,62","63,96","69,28","74,62","77,28","79,94","82,61","85,28","87,95","90,61","93,27","95,93","98,60","101,25","103,93","106,60","109,25","111,92","114,58","115,39","116,18","116,97","117,79","118,58","119,39","120,17","120,99","121,78","122,57","124,07","128,06","132,06","136,06","140,07","144,07","148,07","152,07","156,08","160,08","164,08","168,08","172,09","176,09","180,09","184,09","188,09","192,10","196,10","200,10","204,09","208,10","212,10","216,10","220,10","224,11","228,11","232,11","236,11","240,12","244,12","248,12","252,12","256,13","260,13","264,13","268,13","272,14","276,14","280,14","3,5280"
RS, Porto Alegre,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 0,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 1,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 2,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 3,"52,63","57,88","63,16","68,41","73,68","76,31","78,93","81,58","84,21","86,84","89,48","92,10","94,73","97,36","99,98","102,63","105,26","107,88","110,51","113,15","113,94","114,72","115,51","116,31","117,10","117,89","118,66","119,47","120,25","121,03","122,51","126,46","130,41","134,35","138,31","142,26","146,21","150,16","154,12","158,07","162,02","165,97","169,93","173,88","177,83","181,78","185,72","189,69","193,63","197,58","201,53","205,49","209,44","213,39","217,34","221,30","225,25","229,20","233,15","237,11","241,06","245,00","248,95","252,91","256,86","260,81","264,76","268,72","272,67","276,62","3,4837"
